"ID" "Month" "Known" "Current" "DO" "Conductivity"
1 6 1 0.318 8.9726384 106
1 6.5 1 0.345 8.3360016 110
1 7 1 0.321 8.5943632 121
1 7.5 1 0.244 8.782156 119
1 8 1 0.38 9.9011 89
1 8.5 1 0.335 9.145444 91
1 9 1 0.157 9.4144336 122
1 9.5 1 0.163 9.5039415 123
1 10 1 0.308 11.6855247 95
1 10.5 1 0.372 11.2094448 108
2 6 1 2.662 9.5228376 86
2 6.5 1 2.686 8.3718096 88
2 7 1 1.7777777778 9.7425792 87
2 7.5 1 2.951 8.0551944 89
2 8 1 2.142 10.524604 87
2 8.5 1 2.207 8.5548745 87
2 9 1 1.396 7.199952 93
2 9.5 1 1.818 10.7895008 94
2 10 1 0.707 11.83303 80
2 10.5 1 2.575 10.4931072 81
3 6 1 1.034 10.7145038 93
3 6.5 1 1.126 8.663456 101
3 7 1 1.213 10.552044 119
3 7.5 1 1.033 7.6849584 99
3 8 1 1.272 10.9133254 91
3 8.5 1 0.63 8.9131574 92
3 9 1 0.385 9.499371 75
3 9.5 1 0.868 11.61856 80
3 10 1 1.062 12.9092958 90
3 10.5 1 0.591 10.702776 91
4 6 1 1.31 11.1530512 126
4 6.5 1 1.514 12.258052 80.8
4 7 1 2.232 11.4395152 129
4 7.5 1 1.956 7.2618562 133
4 8 1 2.099 10.4582592 123
4 8.5 1 2.132 8.5128051 123
4 9 1 1.338 7.960338 144
4 9.5 1 1.541 12.866688 141
4 10 1 1.736 13.3423625 123
4 10.5 1 1.863 9.522674 128
5 6 0 0.154 9.58086 176
5 6.5 0 0.047 8.468796 173
5 7 0 0.116 11.08698 220
5 7.5 0 0.081 6.795236 228
5 8 0 0.048 10.211592 241
5 8.5 0 0.017 7.4555753 247
5 9 0 0.042 11.81223 269
5 9.5 0 0.035 8.0892126 275
5 10 0 0.078 9.610354 29
5 10.5 0 0.081 8.9866476 255
6 6 0 1.039 9.6073076 52
6 6.5 0 1.169 9.787328 51
6 7 0 1.408 9.185044 58
6 7.5 0 1.116 9.14451 59
6 8 0 1.448 10.432086 43
6 8.5 0 1.109 9.86952 45
6 9 0 0.796 10.29411 55
6 9.5 0 0.628 10.0646832 56
6 10 0 1.101 10.9729725 66
6 10.5 0 1.1 10.540806 68
