"Country" "Country_Code" "Indicator" "Indicator_Code" "Time" "Value" "Classification"
"1" "Australia" "AUS" "Consumer price index (2010=100, December)" "GFDD.OE.01" "1980" 28.95 1
"2" "Australia" "AUS" "Stock market total value traded to GDP (%)" "GFDD.DM.02" "1980" 2.3 1
"3" "Australia" "AUS" "Stock market turnover ratio (%)" "GFDD.EM.01" "1980" 10.07 1
"4" "Australia" "AUS" "Stock price volatility" "GFDD.SM.01" "1980" NA 1
"5" "Australia" "AUS" "GDP growth (annual %)" "NY.GDP.MKTP.KD.ZG" "1980" 3.052416853 1
"6" "Australia" "AUS" "GDP per capita (current US$)" "NY.GDP.PCAP.CD" "1980" 10201.9783 1
"7" "Australia" "AUS" "GDP per capita growth (annual %)" "NY.GDP.PCAP.KD.ZG" "1980" 1.803891792 1
"8" "Australia" "AUS" "GDP deflator (base year varies by country)" "NY.GDP.DEFL.ZS" "1980" 24.84013746 1
"9" "Australia" "AUS" "GDP deflator: linked series (base year varies by country)" "NY.GDP.DEFL.ZS.AD" "1980" NA 1
"10" "Australia" "AUS" "GDP (current US$)" "NY.GDP.MKTP.CD" "1980" 1.49887e+11 1
"11" "Australia" "AUS" "Real interest rate (%)" "FR.INR.RINR" "1980" -0.030040109 1
"12" "Australia" "AUS" "Lending interest rate (%)" "FR.INR.LEND" "1980" 9.979166667 1
"13" "Australia" "AUS" "Inflation, consumer prices (annual %)" "FP.CPI.TOTL.ZG" "1980" 10.12658228 1
"14" "Australia" "AUS" "Inflation, GDP deflator (annual %)" "NY.GDP.DEFL.KD.ZG" "1980" 10.01221446 1
"15" "Australia" "AUS" "Consumer price index (2010 = 100)" "FP.CPI.TOTL" "1980" 27.40760927 1
"16" "Australia" "AUS" "Interest rate spread (lending rate minus deposit rate, %)" "FR.INR.LNDP" "1980" -0.812286059 1
"17" "Australia" "AUS" "Market capitalization of listed domestic companies (current US$)" "CM.MKT.LCAP.CD" "1980" 59668510000 1
"18" "Australia" "AUS" "Market capitalization of listed domestic companies (% of GDP)" "CM.MKT.LCAP.GD.ZS" "1980" 39.80887256 1
"19" "Australia" "AUS" "Portfolio equity, net inflows (BoP, current US$)" "BX.PEF.TOTL.CD.WD" "1980" 1780213127 1
"20" "Australia" "AUS" "Portfolio investment, net (BoP, current US$)" "BN.KLT.PTXL.CD" "1980" NA 1
"21" "Australia" "AUS" "Current account balance (% of GDP)" "BN.CAB.XOKA.GD.ZS" "1980" NA 1
"22" "Australia" "AUS" "Net capital account (BoP, current US$)" "BN.TRF.KOGT.CD" "1980" NA 1
"23" "Australia" "AUS" "Net financial account (BoP, current US$)" "BN.FIN.TOTL.CD" "1980" NA 1
"24" "Australia" "AUS" "Consumer price index (2010=100, December)" "GFDD.OE.01" "1981" 32.02 1
"25" "Australia" "AUS" "Stock market total value traded to GDP (%)" "GFDD.DM.02" "1981" 3.68 1
"26" "Australia" "AUS" "Stock market turnover ratio (%)" "GFDD.EM.01" "1981" 13.14 1
"27" "Australia" "AUS" "Stock price volatility" "GFDD.SM.01" "1981" 15.79 1
"28" "Australia" "AUS" "GDP growth (annual %)" "NY.GDP.MKTP.KD.ZG" "1981" 3.356420999 1
"29" "Australia" "AUS" "GDP per capita (current US$)" "NY.GDP.PCAP.CD" "1981" 11844.63254 1
"30" "Australia" "AUS" "GDP per capita growth (annual %)" "NY.GDP.PCAP.KD.ZG" "1981" 1.729251512 1
"31" "Australia" "AUS" "GDP deflator (base year varies by country)" "NY.GDP.DEFL.ZS" "1981" 27.20603999 1
"32" "Australia" "AUS" "GDP deflator: linked series (base year varies by country)" "NY.GDP.DEFL.ZS.AD" "1981" NA 1
"33" "Australia" "AUS" "GDP (current US$)" "NY.GDP.MKTP.CD" "1981" 1.76805e+11 1
"34" "Australia" "AUS" "Real interest rate (%)" "FR.INR.RINR" "1981" 2.108038253 1
"35" "Australia" "AUS" "Lending interest rate (%)" "FR.INR.LEND" "1981" 11.83333333 1
"36" "Australia" "AUS" "Inflation, consumer prices (annual %)" "FP.CPI.TOTL.ZG" "1981" 9.691745036 1
"37" "Australia" "AUS" "Inflation, GDP deflator (annual %)" "NY.GDP.DEFL.KD.ZG" "1981" 9.524514667 1
"38" "Australia" "AUS" "Consumer price index (2010 = 100)" "FP.CPI.TOTL" "1981" 30.06388488 1
"39" "Australia" "AUS" "Interest rate spread (lending rate minus deposit rate, %)" "FR.INR.LNDP" "1981" -1.210704185 1
"40" "Australia" "AUS" "Market capitalization of listed domestic companies (current US$)" "CM.MKT.LCAP.CD" "1981" 54379650000 1
"41" "Australia" "AUS" "Market capitalization of listed domestic companies (% of GDP)" "CM.MKT.LCAP.GD.ZS" "1981" 30.75688036 1
"42" "Australia" "AUS" "Portfolio equity, net inflows (BoP, current US$)" "BX.PEF.TOTL.CD.WD" "1981" 519753155.6 1
"43" "Australia" "AUS" "Portfolio investment, net (BoP, current US$)" "BN.KLT.PTXL.CD" "1981" NA 1
"44" "Australia" "AUS" "Current account balance (% of GDP)" "BN.CAB.XOKA.GD.ZS" "1981" NA 1
"45" "Australia" "AUS" "Net capital account (BoP, current US$)" "BN.TRF.KOGT.CD" "1981" NA 1
"46" "Australia" "AUS" "Net financial account (BoP, current US$)" "BN.FIN.TOTL.CD" "1981" NA 1
"47" "Australia" "AUS" "Consumer price index (2010=100, December)" "GFDD.OE.01" "1982" 35.68 1
"48" "Australia" "AUS" "Stock market total value traded to GDP (%)" "GFDD.DM.02" "1982" 3.27 1
"49" "Australia" "AUS" "Stock market turnover ratio (%)" "GFDD.EM.01" "1982" 10.32 1
"50" "Australia" "AUS" "Stock price volatility" "GFDD.SM.01" "1982" 14.66 1
"51" "Australia" "AUS" "GDP growth (annual %)" "NY.GDP.MKTP.KD.ZG" "1982" 3.319422013 1
"52" "Australia" "AUS" "GDP per capita (current US$)" "NY.GDP.PCAP.CD" "1982" 12778.66257 1
"53" "Australia" "AUS" "GDP per capita growth (annual %)" "NY.GDP.PCAP.KD.ZG" "1982" 1.610819106 1
"54" "Australia" "AUS" "GDP deflator (base year varies by country)" "NY.GDP.DEFL.ZS" "1982" 30.39532021 1
"55" "Australia" "AUS" "GDP deflator: linked series (base year varies by country)" "NY.GDP.DEFL.ZS.AD" "1982" NA 1
"56" "Australia" "AUS" "GDP (current US$)" "NY.GDP.MKTP.CD" "1982" 1.93955e+11 1
"57" "Australia" "AUS" "Real interest rate (%)" "FR.INR.RINR" "1982" 1.404347546 1
"58" "Australia" "AUS" "Lending interest rate (%)" "FR.INR.LEND" "1982" 13.29166667 1
"59" "Australia" "AUS" "Inflation, consumer prices (annual %)" "FP.CPI.TOTL.ZG" "1982" 11.14551084 1
"60" "Australia" "AUS" "Inflation, GDP deflator (annual %)" "NY.GDP.DEFL.KD.ZG" "1982" 11.72269179 1
"61" "Australia" "AUS" "Consumer price index (2010 = 100)" "FP.CPI.TOTL" "1982" 33.41465843 1
"62" "Australia" "AUS" "Interest rate spread (lending rate minus deposit rate, %)" "FR.INR.LNDP" "1982" -2.214498415 1
"63" "Australia" "AUS" "Market capitalization of listed domestic companies (current US$)" "CM.MKT.LCAP.CD" "1982" 41525790000 1
"64" "Australia" "AUS" "Market capitalization of listed domestic companies (% of GDP)" "CM.MKT.LCAP.GD.ZS" "1982" 21.41006336 1
"65" "Australia" "AUS" "Portfolio equity, net inflows (BoP, current US$)" "BX.PEF.TOTL.CD.WD" "1982" 781630078.4 1
"66" "Australia" "AUS" "Portfolio investment, net (BoP, current US$)" "BN.KLT.PTXL.CD" "1982" NA 1
"67" "Australia" "AUS" "Current account balance (% of GDP)" "BN.CAB.XOKA.GD.ZS" "1982" NA 1
"68" "Australia" "AUS" "Net capital account (BoP, current US$)" "BN.TRF.KOGT.CD" "1982" NA 1
"69" "Australia" "AUS" "Net financial account (BoP, current US$)" "BN.FIN.TOTL.CD" "1982" NA 1
"70" "Australia" "AUS" "Consumer price index (2010=100, December)" "GFDD.OE.01" "1983" 37.8 1
"71" "Australia" "AUS" "Stock market total value traded to GDP (%)" "GFDD.DM.02" "1983" 3.84 1
"72" "Australia" "AUS" "Stock market turnover ratio (%)" "GFDD.EM.01" "1983" 20.7 1
"73" "Australia" "AUS" "Stock price volatility" "GFDD.SM.01" "1983" 15.87 1
"74" "Australia" "AUS" "GDP growth (annual %)" "NY.GDP.MKTP.KD.ZG" "1983" -2.230960236 1
"75" "Australia" "AUS" "GDP per capita (current US$)" "NY.GDP.PCAP.CD" "1983" 11528.1681 1
"76" "Australia" "AUS" "GDP per capita growth (annual %)" "NY.GDP.PCAP.KD.ZG" "1983" -3.445996126 1
"77" "Australia" "AUS" "GDP deflator (base year varies by country)" "NY.GDP.DEFL.ZS" "1983" 33.48219181 1
"78" "Australia" "AUS" "GDP deflator: linked series (base year varies by country)" "NY.GDP.DEFL.ZS.AD" "1983" NA 1
"79" "Australia" "AUS" "GDP (current US$)" "NY.GDP.MKTP.CD" "1983" 1.77176e+11 1
"80" "Australia" "AUS" "Real interest rate (%)" "FR.INR.RINR" "1983" 2.05247611 1
"81" "Australia" "AUS" "Lending interest rate (%)" "FR.INR.LEND" "1983" 12.41666667 1
"82" "Australia" "AUS" "Inflation, consumer prices (annual %)" "FP.CPI.TOTL.ZG" "1983" 10.11356332 1
"83" "Australia" "AUS" "Inflation, GDP deflator (annual %)" "NY.GDP.DEFL.KD.ZG" "1983" 10.15574629 1
"84" "Australia" "AUS" "Consumer price index (2010 = 100)" "FP.CPI.TOTL" "1983" 36.79407106 1
"85" "Australia" "AUS" "Interest rate spread (lending rate minus deposit rate, %)" "FR.INR.LNDP" "1983" -0.854919611 1
"86" "Australia" "AUS" "Market capitalization of listed domestic companies (current US$)" "CM.MKT.LCAP.CD" "1983" 54036060000 1
"87" "Australia" "AUS" "Market capitalization of listed domestic companies (% of GDP)" "CM.MKT.LCAP.GD.ZS" "1983" 30.49844972 1
"88" "Australia" "AUS" "Portfolio equity, net inflows (BoP, current US$)" "BX.PEF.TOTL.CD.WD" "1983" 887969979.6 1
"89" "Australia" "AUS" "Portfolio investment, net (BoP, current US$)" "BN.KLT.PTXL.CD" "1983" NA 1
"90" "Australia" "AUS" "Current account balance (% of GDP)" "BN.CAB.XOKA.GD.ZS" "1983" NA 1
"91" "Australia" "AUS" "Net capital account (BoP, current US$)" "BN.TRF.KOGT.CD" "1983" NA 1
"92" "Australia" "AUS" "Net financial account (BoP, current US$)" "BN.FIN.TOTL.CD" "1983" NA 1
"93" "Australia" "AUS" "Consumer price index (2010=100, December)" "GFDD.OE.01" "1984" 39.46 1
"94" "Australia" "AUS" "Stock market total value traded to GDP (%)" "GFDD.DM.02" "1984" 4.95 1
"95" "Australia" "AUS" "Stock market turnover ratio (%)" "GFDD.EM.01" "1984" 19.74 1
"96" "Australia" "AUS" "Stock price volatility" "GFDD.SM.01" "1984" 14.17 1
"97" "Australia" "AUS" "GDP growth (annual %)" "NY.GDP.MKTP.KD.ZG" "1984" 4.630766129 1
"98" "Australia" "AUS" "GDP per capita (current US$)" "NY.GDP.PCAP.CD" "1984" 12448.78373 1
"99" "Australia" "AUS" "GDP per capita growth (annual %)" "NY.GDP.PCAP.KD.ZG" "1984" 3.452794946 1
"100" "Australia" "AUS" "GDP deflator (base year varies by country)" "NY.GDP.DEFL.ZS" "1984" 36.11698504 1
"101" "Australia" "AUS" "GDP deflator: linked series (base year varies by country)" "NY.GDP.DEFL.ZS.AD" "1984" NA 1
"102" "Australia" "AUS" "GDP (current US$)" "NY.GDP.MKTP.CD" "1984" 1.93504e+11 1
"103" "Australia" "AUS" "Real interest rate (%)" "FR.INR.RINR" "1984" 3.36589232 1
