"Country" "Country_Code" "Indicator" "Indicator_Code" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015" "Classification"
"1" "Australia" "AUS" "Consumer price index (2010=100, December)" "GFDD.OE.01" 28.95 32.02 35.68 37.8 39.46 43.1 47.17 50.4 53.84 58.46 61.3 62.34 63.09 63.96 66.45 68.95 69.81 69.7 70.57 72.54 76.88 79.14 81.87 83.49 85.46 88.01 90.15 93.97 96.29 99.06 102.29 103.95 106.56 109.68 111.13 112.59 1
"2" "Australia" "AUS" "Stock market total value traded to GDP (%)" "GFDD.DM.02" 2.3 3.68 3.27 3.84 4.95 6.61 10.05 20.72 22.51 15.16 13.22 13.33 13.3 16.86 25.53 28.13 30.64 34.31 35.89 44.06 50.2 55.9 66.68 79.77 86.63 86 99.14 133.35 115.63 82.79 93.65 86.69 68.29 54.24 48.56 52.06 1
"3" "Australia" "AUS" "Stock market turnover ratio (%)" "GFDD.EM.01" 10.07 13.14 10.32 20.7 19.74 29.86 26.28 42.92 26.26 29.1 32.97 35.79 30.46 40.67 47.38 40.57 51.34 48.75 52.99 54.35 52.51 69.25 77.87 83.81 72.97 75.16 89.84 111.82 76.48 92.5 76.19 79.3 68.3 57.18 55.87 63.44 1
"4" "Australia" "AUS" "Stock price volatility" "GFDD.SM.01" NA 15.79 14.66 15.87 14.17 12.03 11.73 17.1 34.38 17.65 14.43 14.61 12.6 11.71 13.14 12.9 11.08 12.1 16.3 14.92 13.64 12.69 12.24 11.62 8.45 7.56 10.82 13.72 22.24 29.74 20.54 15.83 17.59 12.76 11.3 12.56 1
"5" "Australia" "AUS" "Consumer price index (2010 = 100)" "FP.CPI.TOTL" 27.40760927 30.06388488 33.41465843 36.79407106 38.24750489 40.825023 44.53378517 48.31414507 51.80811407 55.72450965 59.7769409 61.70336037 62.31170336 63.4414832 64.64368482 67.6419467 69.40903824 69.58285052 70.17670915 71.20509849 74.39165701 77.65063731 79.98261877 82.19872538 84.12514484 86.37022016 89.42641947 91.51216686 95.49536501 97.23348783 100 103.3038502 105.1248699 107.7003122 110.3798127 112.0447451 1
"6" "Australia" "AUS" "Current account balance (% of GDP)" "BN.CAB.XOKA.GD.ZS" NA NA NA NA NA NA NA NA NA -6.114558729 -4.987502367 -3.246606055 -3.16657692 -2.973856973 -4.907865205 -5.067767878 -3.584879554 -2.731150576 -4.447590494 -5.600900678 -3.727865009 -2.107928584 -4.05493711 -6.277718492 -6.731607119 -6.247504531 -6.062099046 -7.515304112 -4.938874919 -5.27395157 -3.912429333 -3.195205587 -4.192116872 -3.054695262 -2.899242337 -4.310323306 1
"7" "Australia" "AUS" "GDP (current US$)" "NY.GDP.MKTP.CD" 1.49887e+11 1.76805e+11 1.93955e+11 1.77176e+11 1.93504e+11 1.80471e+11 1.82282e+11 1.89376e+11 2.36136e+11 2.99941e+11 3.11426e+11 3.26069e+11 3.25693e+11 3.12373e+11 3.23217e+11 3.68392e+11 4.01819e+11 4.36098e+11 3.99779e+11 3.89147e+11 4.15446e+11 3.789e+11 3.94636e+11 4.66853e+11 6.1333e+11 6.93764e+11 7.47573e+11 8.53765e+11 1.05533e+12 9.27168e+11 1.14288e+12 1.39056e+12 1.53819e+12 1.56718e+12 1.4596e+12 1.34538e+12 1
"8" "Australia" "AUS" "GDP deflator (base year varies by country)" "NY.GDP.DEFL.ZS" 24.84013746 27.20603999 30.39532021 33.48219181 36.11698504 37.78675729 40.20321453 43.04213447 46.14569781 50.4186291 53.5035266 55.13113823 55.95571088 56.44689863 57.01173157 58.27659152 59.8422581 60.57508974 61.34587602 61.5536498 63.12780442 66.10118872 67.99275564 70.11089702 72.41211343 75.09789593 78.90129377 82.82713955 86.58443607 90.84894941 91.76613536 97.44127549 99.44383115 99.27825591 100.7066198 100 1
"9" "Australia" "AUS" "GDP deflator: linked series (base year varies by country)" "NY.GDP.DEFL.ZS.AD" NA NA NA NA NA NA NA NA NA NA 53.5035266 55.13113823 55.95571088 56.44689863 57.01173157 58.27659152 59.8422581 60.57508974 61.34587602 61.5536498 63.12780442 66.10118872 67.99275564 70.11089702 72.41211343 75.09789593 78.90129377 82.82713955 86.58443607 90.84894941 91.76613536 97.44127549 99.44383115 99.27825591 100.7066198 100 1
"10" "Australia" "AUS" "GDP growth (annual %)" "NY.GDP.MKTP.KD.ZG" 3.052416853 3.356420999 3.319422013 -2.230960236 4.630766129 5.249350487 4.100203645 2.578442474 5.776851984 3.880819843 3.530801438 -0.375332994 0.436463912 4.0619942 4.051610741 3.88933225 3.948807277 3.947615227 4.44013975 5.006807026 3.867868797 1.930054261 3.852927051 3.068304851 4.145671395 3.203548132 2.978054386 3.74972737 3.698140685 1.811957199 2.005879701 2.3728207 3.634249616 2.569856088 2.60945748 2.421610556 1
"11" "Australia" "AUS" "GDP per capita (current US$)" "NY.GDP.PCAP.CD" 10201.9783 11844.63254 12778.66257 11528.1681 12448.78373 11452.65689 11379.52337 11643.94718 14283.38445 17838.36312 18249.28849 18865.34352 18616.32081 17681.14687 18102.31756 20384.66929 21944.15506 23551.22217 21365.98141 20561.47678 21690.921 19517.84168 20081.81763 23465.38559 30472.37977 34016.71483 36118.28381 40991.98289 49664.68504 42742.99898 51874.08048 62245.10029 67677.63477 67792.30386 62214.60912 56554.03876 1
"12" "Australia" "AUS" "GDP per capita growth (annual %)" "NY.GDP.PCAP.KD.ZG" 1.803891792 1.729251512 1.610819106 -3.445996126 3.452794946 3.820021828 2.407918958 1.030043405 4.060206324 2.137363796 2.009850965 -1.637068681 -0.774858973 3.048881447 2.956023912 2.641878448 2.592040036 2.79120713 3.35728009 3.813926147 2.636834169 0.564896166 2.593040335 1.80426058 2.945228429 1.850427299 1.470043994 3.103645266 1.640692117 -0.264956601 0.431465531 0.960159777 1.864033359 0.843454781 1.107795434 1.006680566 1
"13" "Australia" "AUS" "Inflation, consumer prices (annual %)" "FP.CPI.TOTL.ZG" 10.12658228 9.691745036 11.14551084 10.11356332 3.950184861 6.739049045 9.084531744 8.488745981 7.231772377 7.559425097 7.272260054 3.222679913 0.985915493 1.813110181 1.894977169 4.638135783 2.6124197 0.250417362 0.853455454 1.465428277 4.475183076 4.380841121 3.00317105 2.770735241 2.343612335 2.668732782 3.538487339 2.332361516 4.352643242 1.82011224 2.845225682 3.303850156 1.762780156 2.449888641 2.487922705 1.508366722 1
