"country" "coupAttempt" "democracy" "tenure" "age"
"USA" 0 1 37 56
"Cananda" 0 1 1 41
"Bahamas" 0 1 79 50
"Cuba" 0 0 253 53
"Haiti" 0 0 106 29
"Dominican Rep" 0 1 19 69
"Jamaica" 0 1 1 56
"Trinidad and Tobago" 0 1 210 69
"Barbados" 0 1 40 49
"Dominica" 0 1 1 37
"Grenada" 0 0 11 37
"St Lucia" 0 1 7 64
"St Vincent" 0 1 4 65
"Mexico" 0 0 38 60
"Guatemala" 0 0 19 56
"Honduras" 0 0 18 49
"El Salvador" 0 0 1 42
"Nicaragua" 0 0 7 35
"Costa Rica" 0 1 21 54
"Panama" 0 0 136 51
"Colombia" 0 1 18 64
"Venezuela" 0 1 11 55
"Guyana" 0 0 165 57
"Suriname" 1 0 1 70
"Ecuador" 0 1 6 40
"Peru" 0 0 1 59
"Brazil" 0 0 11 62
"Bolivia" 1 0 1 55
"Paraguay" 0 0 307 68
"Chile" 0 0 77 65
"Argentina" 0 0 47 55
"Uruguay" 0 0 41 76
"UKG" 0 1 9 55
"Ireland" 0 1 2 55
"Netherlands" 0 1 26 49
"Belgium" 0 1 10 44
"Luxembourg" 0 1 7 67
"France" 0 1 69 54
"Monaco" 0 0 369 57
"Liechtenstein" 0 0 503 74
"Switzerland" 0 1 1 65
"Spain" 0 1 43 48
"Portugal" 0 1 43 66
"Germany" 0 1 69 62
"Germany East" 0 0 105 68
"Poland" 0 0 1 67
"Austria" 0 1 118 69
"Hungary" 0 0 279 68
"Czechoslovakia" 0 0 138 67
"Italy" 0 1 1 52
"San Marino" 0 1 1 57
"Malta" 0 1 104 64
"Albania" 0 0 423 72
"Yugoslavia" 0 0 1 88
"Greece" 0 1 1 73
"Cyprus" 0 0 30 48
"Bulgaria" 0 0 286 69
"Romania" 0 0 179 62
"Soviet Union" 0 0 184 74
"Finland" 0 1 287 80
"Sweden" 0 1 4 54
"Norway" 0 1 49 53
"Denmark" 0 1 60 57
"Iceland" 0 1 1 56
"Cape Verde" 0 0 55 46
"Sao Tome and Principe" 0 0 56 43
"Guinea Bissau" 1 0 1 49
"Equatorial Guinea" 0 0 6 38
"Gambia" 0 0 180 56
"Mali" 0 0 135 44
"Senegal" 0 0 234 74
"Benin" 0 0 88 47
"Mauritania" 1 0 1 37
"Niger" 0 0 70 49
"Ivory Coast" 0 0 234 75
"Guinea" 0 0 256 58
"Burkina Faso" 1 0 1 64
"Liberia" 1 0 1 67
"Sierra Leone" 0 0 142 75
"Ghana" 0 1 5 46
"Togo" 0 0 154 43
"Cameroon" 0 0 241 56
"Nigeria" 0 1 4 55
"Gabon" 0 0 147 45
"Cen African Rep" 0 0 5 50
"Chad" 0 0 11 36
"Congo-Brz" 0 0 12 37
"Congo/Zaire" 0 0 171 50
"Uganda" 1 0 1 61
"Kenya" 0 0 18 56
"Tanzania" 0 0 219 58
"Burundi" 0 0 39 34
"Rwanda" 0 0 79 43
"Somalia" 0 0 124 68
"Djibouti" 0 0 32 64
"Ethiopia" 0 0 36 43
"Angola" 0 0 5 38
"Mozambique" 0 0 56 47
"Zambia" 1 0 184 56
"Zimbabwe" 0 0 1 56
"Malawi" 0 0 187 74
"South Africa" 0 0 17 64
"Lesotho" 0 0 160 66
"Botswana" 0 0 1 59
"Swaziland" 0 0 137 81
"Madagascar" 0 0 56 44
"Comoros" 0 0 21 51
"Mauritius" 0 1 143 80
"Seychelles" 0 0 33 45
"Morocco" 0 0 228 51
"Algeria" 0 0 12 51
"Tunisia" 0 0 271 77
"Libya" 0 0 125 38
"Sudan" 0 0 129 50
"Iran" 1 0 12 78
"Turkey" 1 1 1 56
"Iraq" 0 0 7 43
"Egypt" 0 0 113 62
"Syria" 0 0 108 50
"Lebanon" 0 0 41 56
"Jordan" 0 0 330 45
"Israel" 0 1 32 67
"Saudi Arabia" 0 0 59 67
"Yemen" 0 0 19 38
"Yemen South" 0 0 1 41
"Kuwait" 0 0 25 54
"Bahrain" 0 0 102 47
"Qatar" 0 0 96 48
"United Arab Emirates" 0 0 98 62
"Oman" 0 0 115 40
"Afghanistan" 0 0 2 51
"China" 0 0 1 59
"Mongolia" 0 0 337 64
"Korea North" 0 0 377 68
"Korea South" 1 0 1 61
"Japan" 0 1 1 70
"India" 0 1 1 78
"Bhutan" 0 0 91 25
"Pakistan" 0 0 31 56
"Bangladesh" 0 0 51 44
"Myanmar" 0 0 215 69
"Sri Lanka" 0 0 31 74
"Maldives" 0 0 15 43
"Nepal" 0 0 97 34
"Thailand" 0 0 1 63
"Cambodia" 0 0 13 46
"Laos" 0 0 50 60
"Vietnam" 0 0 125 72
"Malaysia" 0 0 49 58
"Singapore" 0 0 174 57
"Brunei" 0 0 148 34
"Philippines" 0 0 170 63
"Indonesia" 0 0 167 59
"Australia" 0 1 51 50
"Papua New Guinea" 0 1 1 44
"New Zealand" 0 1 50 59
"Vanuatu" 0 1 2 38
"Solomon Islands" 0 1 19 37
"Kiribati" 0 1 6 30
"Tuvalu" 0 1 16 52
"Fiji" 0 0 112 60
"Tonga" 0 0 116 58
"Nauru" 0 1 21 58
"Marshall Islands" 0 1 3 52
"Micronesia" 0 1 9 49
"Samoa" 0 1 47 42
