"Country" "Democracy" "ID" "Decade" "Risk" "Time"
"USA" 1 1 "Y1" 0.0005722 1
"USA" 1 1 "Y2" 0.0005451 2
"USA" 1 1 "Y3" 0.0008545 3
"USA" 1 1 "Y4" 0.0011186 4
"USA" 1 1 "Y5" 0.0005317 5
"Cananda" 1 2 "Y1" 0.0011427 1
"Cananda" 1 2 "Y2" 0.0008444 2
"Cananda" 1 2 "Y3" 0.0019278 3
"Cananda" 1 2 "Y4" 0.0011535 4
"Cananda" 1 2 "Y5" 0.0012483 5
"Bahamas" 1 3 "Y1" 0.001935 1
"Bahamas" 1 3 "Y2" 0.0024053 2
"Bahamas" 1 3 "Y3" 0.0025369 3
"Bahamas" 1 3 "Y4" 0.0010593 4
"Bahamas" 1 3 "Y5" 0.0009138 5
"Cuba" 0 4 "Y1" 0.0014549 1
"Cuba" 0 4 "Y2" 0.0011092 2
"Cuba" 0 4 "Y3" 0.0040525 3
"Cuba" 0 4 "Y4" 0.0012317 4
"Cuba" 0 4 "Y5" 0.0011515 5
"Haiti" 0 5 "Y1" 0.003426 1
"Haiti" 0 5 "Y2" 0.0224373 2
"Haiti" 0 5 "Y3" 0.0505381 3
"Haiti" 0 5 "Y4" 0.0134209 4
"Haiti" 0 5 "Y5" 0.0109773 5
"Dominican Rep" 1 6 "Y1" 0.005729 1
"Dominican Rep" 1 6 "Y2" 0.0045513 2
"Dominican Rep" 1 6 "Y3" 0.0053224 3
"Dominican Rep" 1 6 "Y4" 0.003391 4
"Dominican Rep" 1 6 "Y5" 0.0017256 5
"Jamaica" 1 7 "Y1" 0.0021932 1
"Jamaica" 1 7 "Y2" 0.0027259 2
"Jamaica" 1 7 "Y3" 0.0020853 3
"Jamaica" 1 7 "Y4" 0.0013484 4
"Jamaica" 1 7 "Y5" 0.0012285 5
"Trinidad and Tobago" 1 8 "Y1" 0.0024868 1
"Trinidad and Tobago" 1 8 "Y2" 0.0038959 2
"Trinidad and Tobago" 1 8 "Y3" 0.0025621 3
"Trinidad and Tobago" 1 8 "Y4" 0.0016838 4
"Trinidad and Tobago" 1 8 "Y5" 0.0018345 5
"Barbados" 1 9 "Y1" 0.0023185 1
"Barbados" 1 9 "Y2" 0.0017952 2
"Barbados" 1 9 "Y3" 0.001892 3
"Barbados" 1 9 "Y4" 0.00093 4
"Barbados" 1 9 "Y5" 0.0009897 5
"Dominica" 1 10 "Y1" 0.0012486 1
"Dominica" 1 10 "Y2" 0.002801 2
"Dominica" 1 10 "Y3" 0.00208 3
"Dominica" 1 10 "Y4" 0.0008576 4
"Dominica" 1 10 "Y5" 0.0011335 5
"St Lucia" 1 11 "Y1" 0.0018129 1
"St Lucia" 1 11 "Y2" 0.0022987 2
"St Lucia" 1 11 "Y3" 0.0016505 3
"St Lucia" 1 11 "Y4" 0.0011035 4
"St Lucia" 1 11 "Y5" 0.0009789 5
"St Vincent" 1 12 "Y1" 0.0023158 1
"St Vincent" 1 12 "Y2" 0.0035997 2
"St Vincent" 1 12 "Y3" 0.0019546 3
"St Vincent" 1 12 "Y4" 0.0010521 4
"St Vincent" 1 12 "Y5" 0.0012511 5
"Antigua and Barbuda" 1 13 "Y2" 0.0029539 2
"Antigua and Barbuda" 1 13 "Y3" 0.0016878 3
"Antigua and Barbuda" 1 13 "Y4" 0.0008881 4
"Antigua and Barbuda" 1 13 "Y5" 0.0008327 5
"St Kitts and Nevis" 1 14 "Y2" 0.0026465 2
"St Kitts and Nevis" 1 14 "Y3" 0.0015651 3
"St Kitts and Nevis" 1 14 "Y4" 0.0008548 4
"St Kitts and Nevis" 1 14 "Y5" 0.0007268 5
"Belize" 1 15 "Y2" 0.0052668 2
"Belize" 1 15 "Y3" 0.0034492 3
"Belize" 1 15 "Y4" 0.0011706 4
"Belize" 1 15 "Y5" 0.001362 5
"Costa Rica" 1 16 "Y1" 0.0022245 1
"Costa Rica" 1 16 "Y2" 0.0027938 2
"Costa Rica" 1 16 "Y3" 0.0023107 3
"Costa Rica" 1 16 "Y4" 0.001174 4
"Costa Rica" 1 16 "Y5" 0.0009467 5
"Colombia" 1 17 "Y1" 0.0030631 1
"Colombia" 1 17 "Y2" 0.002799 2
"Colombia" 1 17 "Y3" 0.0033375 3
"Colombia" 1 17 "Y4" 0.0020438 4
"Colombia" 1 17 "Y5" 0.0016269 5
"UKG" 1 18 "Y1" 0.0017069 1
"UKG" 1 18 "Y2" 0.0013157 2
"UKG" 1 18 "Y3" 0.0022688 3
"UKG" 1 18 "Y4" 0.0006817 4
"UKG" 1 18 "Y5" 0.0015387 5
"Ireland" 1 19 "Y1" 0.0020451 1
"Ireland" 1 19 "Y2" 0.001763 2
"Ireland" 1 19 "Y3" 0.0022447 3
"Ireland" 1 19 "Y4" 0.0004946 4
"Ireland" 1 19 "Y5" 0.0005682 5
"Netherlands" 1 20 "Y1" 0.0008418 1
"Netherlands" 1 20 "Y2" 0.0010826 2
"Netherlands" 1 20 "Y3" 0.0017077 3
"Netherlands" 1 20 "Y4" 0.0005481 4
"Netherlands" 1 20 "Y5" 0.0006039 5
"Belgium" 1 21 "Y1" 0.0011091 1
"Belgium" 1 21 "Y2" 0.0013837 2
"Belgium" 1 21 "Y3" 0.0025944 3
"Belgium" 1 21 "Y4" 0.000569 4
"Belgium" 1 21 "Y5" 0.000634 5
"Luxembourg" 1 22 "Y1" 0.0006373 1
"Luxembourg" 1 22 "Y2" 0.0011138 2
"Luxembourg" 1 22 "Y3" 0.0014818 3
"Luxembourg" 1 22 "Y4" 0.0002825 4
"Luxembourg" 1 22 "Y5" 0.0011266 5
"France" 1 23 "Y1" 0.0022259 1
"France" 1 23 "Y2" 0.0022423 2
"France" 1 23 "Y3" 0.0028102 3
"France" 1 23 "Y4" 0.0009505 4
"France" 1 23 "Y5" 0.0009923 5
"Monaco" 0 24 "Y1" 0.0007618 1
"Monaco" 0 24 "Y2" 0.0008519 2
"Monaco" 0 24 "Y3" 0.0011148 3
"Monaco" 0 24 "Y4" 0.0005271 4
"Monaco" 0 24 "Y5" 0.0003514 5
"Liechtenstein" 0 25 "Y1" 0.0010526 1
"Liechtenstein" 0 25 "Y2" 0.0010384 2
"Liechtenstein" 0 25 "Y3" 0.0008624 3
"Liechtenstein" 0 25 "Y4" 0.0004738 4
"Liechtenstein" 0 25 "Y5" 0.0003139 5
"Switzerland" 1 26 "Y1" 0.0010892 1
"Switzerland" 1 26 "Y2" 0.0009489 2
"Switzerland" 1 26 "Y3" 0.0017664 3
"Switzerland" 1 26 "Y4" 0.0004324 4
"Switzerland" 1 26 "Y5" 0.0004048 5
"Andorra" 1 27 "Y2" 0.0021538 2
"Andorra" 1 27 "Y3" 0.0020257 3
"Andorra" 1 27 "Y4" 0.0004371 4
"Andorra" 1 27 "Y5" 0.0003438 5
"Germany" 1 28 "Y1" 0.0025445 1
"Germany" 1 28 "Y2" 0.0013218 2
"Germany" 1 28 "Y3" 0.0045304 3
"Germany" 1 28 "Y4" 0.0007906 4
"Germany" 1 28 "Y5" 0.0009184 5
"Germany East" 0 29 "Y1" 0.0027976 1
"Germany East" 0 29 "Y2" 0.0013131 2
"Germany East" 0 29 "Y3" 0.0012984 3
"Austria" 1 30 "Y1" 0.0045763 1
"Austria" 1 30 "Y2" 0.0015017 2
"Austria" 1 30 "Y3" 0.0024222 3
"Austria" 1 30 "Y4" 0.0007099 4
"Austria" 1 30 "Y5" 0.0006338 5
"Czech Rep" 1 31 "Y3" 0.0018238 3
"Czech Rep" 1 31 "Y4" 0.0008603 4
"Czech Rep" 1 31 "Y5" 0.0006162 5
"Slovakia" 1 32 "Y3" 0.0018618 3
"Slovakia" 1 32 "Y4" 0.0009853 4
"Slovakia" 1 32 "Y5" 0.0010467 5
"Italy" 1 33 "Y1" 0.0016378 1
"Italy" 1 33 "Y2" 0.0016121 2
"Italy" 1 33 "Y3" 0.00245 3
"Italy" 1 33 "Y4" 0.0006493 4
"Italy" 1 33 "Y5" 0.0007516 5
"San Marino" 1 34 "Y1" 0.0002148 1
"San Marino" 1 34 "Y2" 0.0004443 2
"San Marino" 1 34 "Y3" 0.0006625 3
"San Marino" 1 34 "Y4" 0.0001717 4
"San Marino" 1 34 "Y5" 0.0002288 5
"Malta" 1 35 "Y1" 0.0025507 1
"Malta" 1 35 "Y2" 0.0021427 2
