"mixedUseAssessmentKey","provalLrsnId","realEstatePropertyCode","assessmentChangeReasonTypeDsc","mixedUseAssessmentDate","commercialLandAmt","commercialImprovementAmt","totalCommercialAmt","residentialLandAmt","residentialImprovementAmt","totalResidentialAmt"
"1","8773","05031006","","2012-01-01T00:00:00","123000","231900","354900","273900","291600","565500"
"2","8773","05031006","","2011-01-01T00:00:00","123000","203600","326600","273900","250000","523900"
"3","8773","05031006","","2010-01-01T00:00:00","123000","186800","309800","273900","193400","467300"
"4","8773","05031006","","2009-01-01T00:00:00","156800","181100","337900","349100","204700","553800"
"5","8773","05031006","","2008-01-01T00:00:00","156800","193200","350000","349100","160700","509800"
"6","8773","05031006","01- Annual","2013-01-01T00:00:00","123000","238000","361000","273900","286900","560800"
"7","8773","05031006","01- Annual","2014-01-01T00:00:00","123000","254900","377900","273900","504300","778200"
"8","8773","05031006","01- Annual","2015-01-01T00:00:00","396900","-19000","377900","0","792300","792300"
"9","8862","05038013","01- Annual","2015-01-01T00:00:00","383400","-217600","165800","0","621600","621600"
"10","8862","05038013","01- Annual","2014-01-01T00:00:00","73900","91900","165800","280500","213100","493600"
"11","8862","05038013","01- Annual","2013-01-01T00:00:00","73900","85100","159000","280500","169500","450000"
"12","8862","05038013","","2008-01-01T00:00:00","87000","66500","153500","210400","139100","349500"
"13","8862","05038013","","2009-01-01T00:00:00","87000","98300","185300","280500","106400","386900"
"14","8862","05038013","","2010-01-01T00:00:00","73900","84200","158100","280500","33900","314400"
"15","8862","05038013","","2011-01-01T00:00:00","73900","88900","162800","280500","64000","344500"
"16","8862","05038013","","2012-01-01T00:00:00","73900","85100","159000","280500","96500","377000"
"17","9321","05056002","","2012-01-01T00:00:00","488900","0","488900","2940000","0","2940000"
"18","9321","05056002","","2011-01-01T00:00:00","449700","0","449700","2695000","1000","2696000"
"19","9321","05056002","","2010-01-01T00:00:00","469300","0","469300","2744000","1000","2745000"
"20","9321","05056002","","2009-01-01T00:00:00","586600","0","586600","3234000","1000","3235000"
"21","9321","05056002","","2008-01-01T00:00:00","586600","0","586600","3234000","1000","3235000"
"22","9712","06002031","","2008-01-01T00:00:00","156500","213900","370400","66000","40800","106800"
"23","9712","06002031","","2009-01-01T00:00:00","156500","219000","375500","66000","44800","110800"
"24","9712","06002031","01- Annual","2013-01-01T00:00:00","166500","215600","382100","56000","56200","112200"
"25","9712","06002031","","2010-01-01T00:00:00","166500","153800","320300","56000","37500","93500"
"26","9712","06002031","","2011-01-01T00:00:00","166500","163500","330000","56000","55900","111900"
"27","9712","06002031","","2012-01-01T00:00:00","166500","192800","359300","56000","65400","121400"
"28","9712","06002031","01- Annual","2014-01-01T00:00:00","166500","233400","399900","56000","99600","155600"
"29","9712","06002031","01- Annual","2015-01-01T00:00:00","222500","177400","399900","0","158500","158500"
"30","10406","06028015","01- Annual","2015-01-01T00:00:00","207100","141500","348600","0","316900","316900"
"31","10406","06028015","01- Annual","2014-01-01T00:00:00","74500","274100","348600","132000","185500","317500"
"32","10406","06028015","","2012-01-01T00:00:00","74500","245800","320300","132000","105800","237800"
"33","10406","06028015","","2011-01-01T00:00:00","74500","233700","308200","132000","91900","223900"
"34","10406","06028015","","2010-01-01T00:00:00","74500","224600","299100","132000","67500","199500"
"35","10406","06028015","01- Annual","2013-01-01T00:00:00","74500","258500","333000","132000","96800","228800"
"36","10406","06028015","","2009-01-01T00:00:00","74500","276200","350700","132000","104400","236400"
"37","10406","06028015","","2008-01-01T00:00:00","108400","234700","343100","132000","86100","218100"
"38","10855","07006012","","2008-01-01T00:00:00","583900","420100","1004000","132000","217500","349500"
"39","10855","07006012","","2009-01-01T00:00:00","451900","571400","1023300","264000","108600","372600"
"40","10855","07006012","01- Annual","2013-01-01T00:00:00","495900","643400","1139300","220000","192800","412800"
"41","10855","07006012","","2010-01-01T00:00:00","491900","472800","964700","224000","90400","314400"
"42","10855","07006012","","2011-01-01T00:00:00","495900","498000","993900","220000","132500","352500"
"43","10855","07006012","","2012-01-01T00:00:00","495900","635600","1131500","220000","184800","404800"
"44","10855","07006012","01- Annual","2014-01-01T00:00:00","495900","684500","1180400","220000","352800","572800"
"45","10855","07006012","01- Annual","2015-01-01T00:00:00","715900","464500","1180400","0","633800","633800"
"46","10859","07006016","01- Annual","2015-01-01T00:00:00","52500","221100","273600","401600","875300","1276900"
"47","10859","07006016","01- Annual","2016-01-01T00:00:00","52500","246300","298800","421400","1399800","1821200"
"48","10859","07006016","01- Annual","2014-01-01T00:00:00","8400","240500","248900","363100","845900","1209000"
