"","RegionID","postal_code","City","State","Metro","CountyName","SizeRank","time","rentprice","month","year","YearMonth","imp"
"10025.2010-11",61639,"10025","New York","NY","New York","New York",1,2010-11-01,NA,11,"2010",Nov 2010,0
"60657.2010-11",84654,"60657","Chicago","IL","Chicago","Cook",2,2010-11-01,1731,11,"2010",Nov 2010,0
"10023.2010-11",61637,"10023","New York","NY","New York","New York",3,2010-11-01,NA,11,"2010",Nov 2010,0
"75070.2010-11",90668,"75070","McKinney","TX","Dallas-Fort Worth","Collin",4,2010-11-01,1577,11,"2010",Nov 2010,0
"77494.2010-11",91982,"77494","Cinco Ranch","TX","Houston","Fort Bend",5,2010-11-01,2184,11,"2010",Nov 2010,0
"60614.2010-11",84616,"60614","Chicago","IL","Chicago","Cook",6,2010-11-01,2005,11,"2010",Nov 2010,0
"79936.2010-11",93144,"79936","El Paso","TX","El Paso","El Paso",7,2010-11-01,1078,11,"2010",Nov 2010,0
"77084.2010-11",91733,"77084","Houston","TX","Houston","Harris",8,2010-11-01,1273,11,"2010",Nov 2010,0
"10002.2010-11",61616,"10002","New York","NY","New York","New York",9,2010-11-01,NA,11,"2010",Nov 2010,0
"10467.2010-11",61807,"10467","New York","NY","New York","Bronx",10,2010-11-01,NA,11,"2010",Nov 2010,0
"60640.2010-11",84640,"60640","Chicago","IL","Chicago","Cook",11,2010-11-01,1493,11,"2010",Nov 2010,0
"77449.2010-11",91940,"77449","Houston","TX","Houston","Harris",12,2010-11-01,1288,11,"2010",Nov 2010,0
"94109.2010-11",97564,"94109","San Francisco","CA","San Francisco","San Francisco",13,2010-11-01,2983,11,"2010",Nov 2010,0
"11226.2010-11",62037,"11226","New York","NY","New York","Kings",14,2010-11-01,NA,11,"2010",Nov 2010,0
"10016.2010-11",61630,"10016","New York","NY","New York","New York",15,2010-11-01,NA,11,"2010",Nov 2010,0
"11375.2010-11",62087,"11375","New York","NY","New York","Queens",16,2010-11-01,NA,11,"2010",Nov 2010,0
"11235.2010-11",62045,"11235","New York","NY","New York","Kings",17,2010-11-01,NA,11,"2010",Nov 2010,0
"37013.2010-11",74101,"37013","Nashville","TN","Nashville","Davidson",18,2010-11-01,1088,11,"2010",Nov 2010,0
"90250.2010-11",96107,"90250","Hawthorne","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",19,2010-11-01,2127,11,"2010",Nov 2010,0
"60647.2010-11",84646,"60647","Chicago","IL","Chicago","Cook",20,2010-11-01,1621,11,"2010",Nov 2010,0
"37211.2010-11",74242,"37211","Nashville","TN","Nashville","Davidson",21,2010-11-01,1069,11,"2010",Nov 2010,0
"10009.2010-11",61623,"10009","New York","NY","New York","New York",22,2010-11-01,NA,11,"2010",Nov 2010,0
"78660.2010-11",92593,"78660","Pflugerville","TX","Austin","Travis",23,2010-11-01,1247,11,"2010",Nov 2010,0
"60618.2010-11",84620,"60618","Chicago","IL","Chicago","Cook",24,2010-11-01,1639,11,"2010",Nov 2010,0
"10029.2010-11",61643,"10029","New York","NY","New York","New York",25,2010-11-01,NA,11,"2010",Nov 2010,0
"10011.2010-11",61625,"10011","New York","NY","New York","New York",26,2010-11-01,NA,11,"2010",Nov 2010,0
"10128.2010-11",61703,"10128","New York","NY","New York","New York",27,2010-11-01,NA,11,"2010",Nov 2010,0
"77573.2010-11",92036,"77573","League City","TX","Houston","Galveston",28,2010-11-01,1737,11,"2010",Nov 2010,0
"77584.2010-11",92045,"77584","Pearland","TX","Houston","Brazoria",29,2010-11-01,1528,11,"2010",Nov 2010,0
"28269.2010-11",69816,"28269","Charlotte","NC","Charlotte","Mecklenburg",30,2010-11-01,1082,11,"2010",Nov 2010,0
"11201.2010-11",62012,"11201","New York","NY","New York","Kings",31,2010-11-01,NA,11,"2010",Nov 2010,0
