"","postal_code","RegionID","City","State","Metro","CountyName","SizeRank","stars","time","rentprice"
"85003.Nov 2010","85003",94719,"Phoenix","AZ","Phoenix","Maricopa",8436,3.89473684210526,"2010-11",1233
"85004.Nov 2010","85004",94720,"Phoenix","AZ","Phoenix","Maricopa",9346,3.81651376146789,"2010-11",1167
"85006.Nov 2010","85006",94722,"Phoenix","AZ","Phoenix","Maricopa",4993,4.2037037037037,"2010-11",938
"85007.Nov 2010","85007",94723,"Phoenix","AZ","Phoenix","Maricopa",7867,3.89285714285714,"2010-11",967
"85008.Nov 2010","85008",94724,"Phoenix","AZ","Phoenix","Maricopa",502,3.63333333333333,"2010-11",945
"85009.Nov 2010","85009",94725,"Phoenix","AZ","Phoenix","Maricopa",3046,5,"2010-11",810
"85012.Nov 2010","85012",94728,"Phoenix","AZ","Phoenix","Maricopa",9083,3.86407766990291,"2010-11",1509
"85013.Nov 2010","85013",94729,"Phoenix","AZ","Phoenix","Maricopa",4570,3.73333333333333,"2010-11",1131
"85014.Nov 2010","85014",94730,"Phoenix","AZ","Phoenix","Maricopa",2780,3.9047619047619,"2010-11",1063
"85015.Nov 2010","85015",94731,"Phoenix","AZ","Phoenix","Maricopa",1718,3.66666666666667,"2010-11",945
"85016.Nov 2010","85016",94732,"Phoenix","AZ","Phoenix","Maricopa",1053,3.84722222222222,"2010-11",1199
"85017.Nov 2010","85017",94733,"Phoenix","AZ","Phoenix","Maricopa",3567,3,"2010-11",867
"85018.Nov 2010","85018",94734,"Phoenix","AZ","Phoenix","Maricopa",1129,4.05031446540881,"2010-11",1507
"85019.Nov 2010","85019",94735,"Phoenix","AZ","Phoenix","Maricopa",5956,4.5,"2010-11",903
"85020.Nov 2010","85020",94736,"Phoenix","AZ","Phoenix","Maricopa",1436,3.80952380952381,"2010-11",1035
"85021.Nov 2010","85021",94737,"Phoenix","AZ","Phoenix","Maricopa",1511,3.14285714285714,"2010-11",1087
"85022.Nov 2010","85022",94738,"Phoenix","AZ","Phoenix","Maricopa",452,3.53061224489796,"2010-11",1198
"85023.Nov 2010","85023",94739,"Phoenix","AZ","Phoenix","Maricopa",2453,3.66666666666667,"2010-11",1172
"85024.Nov 2010","85024",94740,"Phoenix","AZ","Phoenix","Maricopa",4140,3.5,"2010-11",1278
"85027.Nov 2010","85027",94743,"Phoenix","AZ","Phoenix","Maricopa",1651,3.34375,"2010-11",1017
"85028.Nov 2010","85028",94744,"Phoenix","AZ","Phoenix","Maricopa",5564,3.3,"2010-11",1579
"85029.Nov 2010","85029",94745,"Phoenix","AZ","Phoenix","Maricopa",1170,3.78125,"2010-11",987
"85031.Nov 2010","85031",94747,"Phoenix","AZ","Phoenix","Maricopa",5739,NA,"2010-11",902
"85032.Nov 2010","85032",94748,"Phoenix","AZ","Phoenix","Maricopa",66,3.640625,"2010-11",1196
"85033.Nov 2010","85033",94749,"Phoenix","AZ","Phoenix","Maricopa",1820,4.5,"2010-11",893
"85034.Nov 2010","85034",94750,"Phoenix","AZ","Phoenix","Maricopa",11099,3.15873015873016,"2010-11",886
"85035.Nov 2010","85035",94751,"Phoenix","AZ","Phoenix","Maricopa",2024,3.75,"2010-11",880
"85037.Nov 2010","85037",94753,"Phoenix","AZ","Phoenix","Maricopa",2287,3.5,"2010-11",919
"85040.Nov 2010","85040",94756,"Phoenix","AZ","Phoenix","Maricopa",4682,3.46153846153846,"2010-11",897
"85041.Nov 2010","85041",94757,"Phoenix","AZ","Phoenix","Maricopa",1239,3.625,"2010-11",989
"85042.Nov 2010","85042",94758,"Phoenix","AZ","Phoenix","Maricopa",2253,4.02564102564103,"2010-11",1059
"85043.Nov 2010","85043",94759,"Phoenix","AZ","Phoenix","Maricopa",5377,4,"2010-11",946
"85044.Nov 2010","85044",94760,"Phoenix","AZ","Phoenix","Maricopa",1142,3.33333333333333,"2010-11",1284
"85045.Nov 2010","85045",94761,"Phoenix","AZ","Phoenix","Maricopa",10480,NA,"2010-11",1939
"85048.Nov 2010","85048",94763,"Phoenix","AZ","Phoenix","Maricopa",2633,3.72093023255814,"2010-11",1500
"85050.Nov 2010","85050",94764,"Phoenix","AZ","Phoenix","Maricopa",3008,3.58536585365854,"2010-11",1517
"85051.Nov 2010","85051",94765,"Phoenix","AZ","Phoenix","Maricopa",1682,3.67741935483871,"2010-11",949
"85053.Nov 2010","85053",94766,"Phoenix","AZ","Phoenix","Maricopa",3623,3.85714285714286,"2010-11",1028
"85054.Nov 2010","85054",94767,"Phoenix","AZ","Phoenix","Maricopa",8631,3.78378378378378,"2010-11",1742
"85083.Nov 2010","85083",399652,"Phoenix","AZ","Phoenix","Maricopa",6997,4,"2010-11",1679
"85085.Nov 2010","85085",94791,"Phoenix","AZ","Phoenix","Maricopa",4819,3.88571428571429,"2010-11",1666
"85086.Nov 2010","85086",94792,"Anthem","AZ","Phoenix","Maricopa",1952,3.875,"2010-11",1565
"85087.Nov 2010","85087",94793,"New River","AZ","Phoenix","Maricopa",9516,NA,"2010-11",1569
"85119.Nov 2010","85119",417435,"Apache Junction","AZ","Phoenix","Pinal",4123,NA,"2010-11",995
"85138.Nov 2010","85138",417442,"Maricopa","AZ","Phoenix","Pinal",2418,NA,"2010-11",942
"85140.Nov 2010","85140",399654,"Queen Creek","AZ","Phoenix","Pinal",3056,NA,"2010-11",929
"85143.Nov 2010","85143",94835,"San Tan Valley","AZ","Phoenix","Pinal",2807,NA,"2010-11",919
"85201.Nov 2010","85201",94796,"Mesa","AZ","Phoenix","Maricopa",612,NA,"2010-11",958
"85203.Nov 2010","85203",94798,"Mesa","AZ","Phoenix","Maricopa",2909,NA,"2010-11",1177
"85205.Nov 2010","85205",94800,"Mesa","AZ","Phoenix","Maricopa",793,NA,"2010-11",1088
"85207.Nov 2010","85207",94802,"Mesa","AZ","Phoenix","Maricopa",952,NA,"2010-11",1376
"85209.Nov 2010","85209",94804,"Mesa","AZ","Phoenix","Maricopa",1346,NA,"2010-11",1205
"85210.Nov 2010","85210",94805,"Mesa","AZ","Phoenix","Maricopa",1964,NA,"2010-11",952
