Date Event Began,Date of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW), Number of Customers Affected 
1/23/2000,1/28/2000,South Carolina,SERC,Ice Storm,450,"133,000"
1/29/2000,2/3/2000,South Carolina,SERC,Ice Storm,300,"81,000"
3/18/2000,3/18/2000,New Mexico,WECC,Transmission Line Loss,"1,040","500,000"
5/21/2000,5/22/2000,North Carolina,SERC,Thunder/Lightning,175,"50,000"
5/25/2000,6/2/2000,North Carolina,SERC,Severe Weather,475,"100,000"
6/14/2000,6/14/2000,Arizona,WECC,Tripped Lines Fire,138,"40,911"
6/28/2000,6/28/2000,Virginia & North Carolina,SERC,Line Outages/Switch Fire,175,"30,500"
8/10/2000,8/11/2000,Alabama,SERC,Severe Weather,None,"75,000"
8/18/2000,8/20/2000,North Carolina,SERC,Severe Weather Weather,500,"130,000"
12/16/2000,12/18/2000,"Geneva, Southeast Alabama",SERC,Tornado,NA,"60,000"
3/6/2001,3/6/2001,Boston & Northeast Massachusetts,NPCC,Interruption of Firm Power,340,"130,000"
3/19/2001,3/19/2001,Southern California Area,WECC,Interruption of Firm Power,Various,"430,984"
1/30/2002,2/7/2002,Oklahoma,SPP,Ice Storm,500,"1,881,134"
1/30/2002,2/10/2002,Missouri,SPP,Ice Storm,210,"95,000"
2/27/2002,2/27/2002,California,WECC,Interruption of Firm Load,300,"255,000"
7/20/2002,7/20/2002,New York,NPCC,Fire,278,"63,500"
8/9/2002,8/9/2002,Florida,SERC,Interruption of Firm Power,51,"25,000"
8/28/2002,8/28/2002,Florida,SERC,Severe Weather,67.6,"25,000"
10/3/2002,10/12/2002,Coastal Areas of Southern Louisiana,SPP,Hurricane Lily,NA,"242,910"
11/6/2002,11/10/2002,Northern and Central California,WECC,Winter Storm,270,"939,000"
11/17/2002,11/21/2002,Northwest and North Central Connecticut,NPCC,Ice Storm,NA,"224,912"
12/3/2002,12/9/2002,Arkansas,SPP,Ice Storm,NA,"43,000"
12/11/2002,12/13/2002,Northern Virginia to Fredericksburg; Staunton to Harrisonburg,SERC,Winter Storm,63,"130,000"
12/14/2002,12/19/2002,Northern and Central California,WECC,Winter Storm,180,"1,500,000"
12/19/2002,12/21/2002,Northern and Central California,WECC,Winter Storm,56,"385,000"
4/4/2003,4/5/2003,"New York, Upstate New York",NPCC,Severe Storm,225,"160,000"
5/2/2003,5/4/2003,"Piedmont, North and South Carolina",SERC,Severe Thunderstorms,"1,500","139,000"
5/2/2003,5/3/2003,"Central Georgia, Alabama",SERC,Severe Thunderstorms,130,"114,000"
6/30/2003,6/30/2003,"Coastal areas of Southwest Louisiana, entire New Orleans metropolitan area",SPP,Tropical Storm Bill,NA,"179,299"
7/1/2003,7/1/2003,"Phoenix, Arizona",WECC,Breaker Failure,"1,000","47,000"
7/2/2003,7/2/2003,Northern California,WECC,Unit Tripped,200,1
7/9/2003,7/9/2003,Northern Central and Eastern Virginia,SERC,Severe Thunderstorms,120,"80,000"
7/28/2003,7/28/2003,Arizona,WECC,Breaker Closed,440,"90,000"
8/14/2003,8/15/2003,Entire Con Edison System (five boroughs of NYC and Westchester County),NPCC,Unknown *,"11,202","3,125,350"
8/14/2003,8/14/2003,"New York- Buffalo to Albany; Ontario, Canada to Pennsylvania",NPCC,Unknown *,NA,"840,137"
9/18/2003,9/29/2003,"North Eastern North Carolina, Eastern Central , and Northern Virginia",SERC,Hurricane Isabel,"6,512","1,800,000"
11/13/2003,11/13/2003,"Northern Virginia, Richmond area, Eastern Virginia",SERC,Wind Storm,300,"67,000"
