State,Gov.,Sen.,Sen.,Overall,MedianHouseholdIncome
Maryland,R,D,D,D,73971.00
New Jersey,R,D,D,D,71919.00
Alaska,I,R,R,R,71583.00
Connecticut,D,D,D,D,70048.00
Hawaii,D,D,D,D,69592.00
Massachusetts,R,D,D,D,69160.00
New Hampshire,D,D,R,D,66532.00
Virginia,D,D,D,D,64902.00
California,D,D,D,D,61933.00
Minnesota,D,D,D,D,61481.00
Washington,D,D,D,D,61366.00
Colorado,D,D,R,D,61303.00
Utah,R,R,R,R,60922.00
Delaware,D,D,D,D,59716.00
North Dakota,R,D,R,R,59029.00
New York,D,D,D,D,58878.00
Illinois,R,D,R,R,57444.00
Wyoming,R,R,R,R,57055.00
Rhode Island,D,D,D,D,54891.00
Vermont,D,D,I,D,54166.00
Iowa,R,R,R,R,53712.00
Pennsylvania,D,D,R,D,53234.00
Texas,R,R,R,R,53035.00
Nebraska,R,R,R,R,52686.00
Wisconsin,R,D,R,R,52622.00
Kansas,R,R,R,R,52504.00
Nevada,R,D,R,R,51450.00
Oregon,D,D,D,D,51075.00
South Dakota,R,R,R,R,50979.00
Arizona,R,R,R,R,50068.00
Michigan,R,D,D,D,49847.00
Maine,R,I,R,R,49462.00
Indiana,R,D,R,R,49446.00
Georgia,R,R,R,R,49321.00
Ohio,R,D,R,R,49308.00
Missouri,D,D,R,D,48363.00
Idaho,R,R,R,R,47861.00
Oklahoma,R,R,R,R,47529.00
Florida,R,D,R,R,47463.00
North Carolina,R,R,R,R,46556.00
Montana,D,D,R,D,46328.00
South Carolina,R,R,R,R,45238.00
New Mexico,R,D,D,D,44803.00
Louisiana,R,R,R,R,44555.00
Tennessee,R,R,R,R,44361.00
Kentucky,D,R,R,R,42958.00
Alabama,R,R,R,R,42830.00
Arkansas,R,R,R,R,41262.00
West Virginia,D,D,R,D,41059.00
Mississippi,R,R,R,R,39680.00
