yards,goal,practiceormatch
18,Y,P
19,Y,P
19,Y,P
19,Y,P
19,Y,P
19,Y,P
20,N,P
20,Y,P
20,Y,P
20,Y,P
20,Y,P
20,Y,P
20,Y,P
20,Y,P
20,Y,P
20,Y,P
20,Y,P
20,Y,P
20,Y,P
20,Y,P
20,Y,P
20,Y,P
20,Y,P
20,Y,P
20,Y,P
21,N,P
21,Y,P
21,Y,P
21,Y,P
21,Y,P
21,Y,P
21,Y,P
21,Y,P
21,Y,P
21,Y,P
21,Y,P
21,Y,P
21,Y,P
21,Y,P
21,Y,P
21,Y,P
21,Y,P
21,Y,P
22,Y,P
22,Y,M
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
22,Y,P
23,Y,P
23,Y,P
23,Y,M
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,M
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,M
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,P
23,Y,M
23,Y,P
24,N,M
24,N,P
24,Y,P
24,Y,P
24,Y,P
24,Y,P
24,Y,P
24,Y,P
24,Y,P
24,Y,P
24,Y,P
24,Y,P
24,Y,P
24,Y,P
24,Y,P
24,Y,P
24,Y,P
24,Y,P
24,Y,P
24,Y,P
24,Y,M
24,Y,M
24,Y,P
24,Y,P
24,Y,M
24,Y,M
24,Y,P
24,Y,P
24,Y,P
24,Y,P
25,y,M
25,y,P
25,y,P
25,y,P
25,y,P
25,y,P
25,y,P
25,y,P
25,y,P
25,y,P
25,y,P
25,y,P
25,y,P
25,y,P
25,y,M
25,y,P
25,y,P
26,N,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,M
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
26,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,M
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
27,Y,P
28,N,M
28,Y,P
28,Y,P
28,Y,P
28,Y,P
28,Y,P
28,Y,P
28,Y,P
28,Y,P
28,Y,P
28,Y,P
28,Y,M
28,Y,M
28,Y,P
28,Y,P
28,Y,P
28,Y,M
28,Y,M
28,Y,P
28,Y,P
28,Y,P
28,Y,M
28,Y,P
28,Y,M
28,Y,P
28,Y,P
28,Y,P
28,Y,P
28,Y,P
28,Y,P
28,Y,P
28,Y,P
29,N,P
29,N,P
29,N,P
29,N,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,M
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,M
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,P
29,Y,M
29,Y,P
30,N,P
30,N,P
30,N,P
30,Y,P
30,Y,P
30,Y,P
30,Y,P
30,Y,P
30,Y,P
30,Y,P
30,Y,P
30,Y,P
30,Y,P
30,Y,P
30,Y,M
30,Y,P
30,Y,P
30,Y,P
30,Y,P
30,Y,P
30,Y,P
30,Y,P
31,N,P
31,N,P
31,N,P
31,Y,P
31,Y,P
31,Y,P
31,Y,P
31,Y,P
31,Y,P
31,Y,P
31,Y,P
31,Y,P
31,Y,M
31,Y,P
31,Y,P
31,Y,P
31,Y,P
31,Y,P
31,Y,P
31,Y,P
31,Y,P
31,Y,P
31,Y,P
31,Y,P
31,Y,P
31,Y,P
32,N,P
32,N,P
32,Y,P
32,Y,P
32,Y,P
32,Y,P
32,Y,P
32,Y,P
32,Y,P
32,Y,P
32,Y,P
32,Y,P
32,Y,P
32,Y,P
32,Y,P
32,Y,P
32,Y,P
32,Y,P
33,N,P
33,N,P
33,N,P
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,M
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,M
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,P
33,Y,M
33,Y,P
33,Y,P
34,N,P
34,N,P
34,N,P
34,N,P
34,N,P
34,N,M
34,Y,M
34,Y,P
34,Y,P
34,Y,P
34,Y,P
34,Y,M
34,Y,P
34,Y,M
34,Y,P
34,Y,P
34,Y,M
34,Y,P
34,Y,P
