TIME,OWNED,SEX,EDLVL,AGE,Playfulness,ValueUtility,FeelDeviceDependence,ATUseSophistication,FeelTimeManagingDevice,UseSelfEfficacy,NonPlayfulness,ValueHedonistic,VU,VH
30,48,1,6,29,0.4357418719,0.5987023884,0.0147049512,0.993670069,0.5382476515,-0.366301289,-0.637704922,-0.360985005,1,0
180,96,2,6,45,0.4787749129,-0.978223064,-0.22784762,-0.498776452,-1.009462529,-0.316190935,1.1962795949,-0.436055465,0,0
120,120,1,5,41,-0.666581563,0.2946523942,-0.354879163,1.4034317881,0.4278592136,-0.06936949,1.2851571828,-0.094290198,1,
60,60,2,6,29,0.7550235624,-0.948531631,-0.108447612,-0.111465345,1.0477332485,-0.428758765,0.8496926375,-0.56099993,0,0
90,60,2,5,30,-0.382838991,0.9235845464,-1.053071403,-0.865110942,0.7731619358,-0.87606109,0.0396881163,0.399976648,1,1
240,120,2,5,26,-0.413983604,-0.361834381,-0.731796564,-0.319716792,0.0787677,-0.723097897,0.211613199,-0.553708475,0,0
120,96,2,6,31,-0.251975227,-0.453592723,-0.679470149,-0.375153912,-1.436365171,-0.696285701,0.533031971,-0.04906193,0,
120,66,1,5,33,0.2269595257,-0.287764386,-1.251865558,-0.499914596,-0.077648709,-0.869244784,0.7065434761,-0.059815076,0,
120,82,2,5,26,0.7112023839,-1.193469378,-1.137406369,-0.309407104,-1.439992366,-0.26760705,-0.375294688,-0.800536267,0,0
300,96,1,5,23,0.1044775652,0.2261132048,-1.207682741,-0.367579804,0.8792671947,-0.754514871,0.9372044927,-1.036763976,,0
120,72,1,5,29,-0.673318222,0.4251024829,0.0336147455,-0.771215903,-0.397676488,0.2912929798,-0.356093547,-1.200336294,1,0
120,36,1,5,26,-0.910947791,-1.576970847,0.4934342595,1.3112481648,-0.487816247,-0.926864006,-0.327340036,0.1226589556,0,
30,72,1,5,53,0.382370379,-1.5210888,1.3252821472,-0.623590592,1.2595667491,2.0325155376,-0.247866289,-1.177092818,0,0
10,48,1,5,82,0.4173789228,-1.370338182,3.044579874,-0.501846768,0.9580326218,-0.178616222,0.4739236336,-0.773931398,0,0
30,36,2,5,50,0.5310069878,-1.158989839,0.1238533383,0.8335451455,1.3455293701,1.5933705524,-0.21419477,-0.135771075,0,
60,84,2,5,58,0.6902472867,-1.160569727,-1.157217285,-0.188716411,-1.458566992,-0.099327023,-0.363182399,-0.851640308,0,0
30,36,1,5,53,-0.125535978,0.2697690369,-1.188730344,-0.229913243,0.8539970109,-0.762815749,0.9303226509,-1.063225025,1,0
30,96,2,6,25,1.0486740873,-0.967974108,0.4387552535,0.1418177557,0.0982460165,-0.060428394,-0.993276399,-1.272515727,0,0
120,96,2,6,32,-0.115447242,-0.542538819,-0.431540824,-0.064276434,-0.745807989,-0.327367079,0.4316867175,-0.156617605,0,
60,24,1,5,23,0.6061254386,1.1870405372,-0.185633606,0.2635414881,0.3691075407,-0.424850293,-0.303356782,0.3566218531,1,1
120,60,1,5,25,0.0336118904,0.2590644658,-0.713980026,-0.615376761,-1.335202222,-0.289790557,0.7294641869,-0.198458027,1,
60,48,1,6,25,0.5256599145,-0.670014967,-0.488375423,0.828894292,0.2218321443,0.1752504986,0.1542208231,-0.183924795,0,
180,48,1,6,25,-0.97755863,-0.12355312,-1.224958599,0.7115519993,-1.124980484,-0.597971398,-0.476727152,-0.834356447,,0
300,72,1,5,24,-0.219192397,0.2731308616,0.7576834034,-1.503905238,0.6031644017,-0.627480416,-0.034936366,0.3375654465,1,1
300,36,2,5,24,-0.1265444,1.0451607887,-0.563902197,-0.715844548,-1.581330874,0.5223891624,-0.06149435,0.2342632375,1,
90,98,1,6,24,1.2089655875,-0.758220297,-0.775735159,1.0949479012,-0.496479749,1.9869314274,-0.22741404,-0.577290252,0,0
120,60,1,5,27,0.4584214683,1.1119616013,-0.542095548,0.4692771093,-0.011134223,3.2865560579,-0.442310938,0.2177649711,1,
