"","V1"
"BeyondEntitiesAndRelationships.txt",3
"bigdata.txt",3
"ConditionsOverCauses.txt",5
"EmergentDesignInEnterpriseIT.txt",2
"FromInformationToKnowledge.txt",4
"FromTheCoalface.txt",5
"HeraclitusAndParmenides.txt",5
"IroniesOfEnterpriseIT.txt",2
"MakingSenseOfOrganizationalChange.txt",5
"MakingSenseOfSensemaking.txt",4
"ObjectivityAndTheEthicalDimensionOfDecisionMaking.txt",3
"OnTheInherentAmbiguitiesOfManagingProjects.txt",1
"OrganisationalSurprise.txt",1
"ProfessionalsOrPoliticians.txt",5
"RitualsInInformationSystemDesign.txt",2
"RoutinesAndReality.txt",2
"ScapegoatsAndSystems.txt",3
"SherlockHolmesFailedProjects.txt",1
"sherlockHolmesMgmtFetis.txt",1
"SixHeresiesForBI.txt",3
"SixHeresiesForEnterpriseArchitecture.txt",2
"TheArchitectAndTheApparition.txt",4
"TheCloudAndTheGrass.txt",4
"TheConsultantsDilemma.txt",4
"TheDangerWithin.txt",1
"TheDilemmasOfEnterpriseIT.txt",2
"TheEssenceOfEntrepreneurship.txt",5
"ThreeTypesOfUncertainty.txt",1
"TOGAFOrNotTOGAF.txt",2
"UnderstandingFlexibility.txt",5
