"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:33:13,FALSE,NA,"1171038852435177473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Salty_prince",57,TRUE,FALSE,NA,NA
"2","RT @lingtenouttaten: I like the idea of nezha being a rich young master &amp; a complete shitbaby gremlin and ao bing being a pristine classy d…",FALSE,0,NA,2019-09-09 12:33:12,FALSE,NA,"1171038844524756993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","egirlatsushi",36,TRUE,FALSE,NA,NA
"3","RT @SuperShounen: These Nezha movie posters <U+0001F60D> https://t.co/AsRUCnwu82",FALSE,0,NA,2019-09-09 12:33:07,FALSE,NA,"1171038823645700096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kailynnplz",227,TRUE,FALSE,NA,NA
"4","RT @fishingforyuu: do you ever just think about nezha tying aobings hair up with two hands then holding his hands with two other hands and…",FALSE,0,NA,2019-09-09 12:32:43,FALSE,NA,"1171038725289021441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ghost_naz",50,TRUE,FALSE,NA,NA
"5","RT @junowasdead: U try to sit and do important stuff but your head is full with images of Nezha hugging Aobing with all his 6 arms https://…",FALSE,0,NA,2019-09-09 12:31:49,FALSE,NA,"1171038497383309313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KaigaTagami",196,TRUE,FALSE,NA,NA
"6","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:31:24,FALSE,NA,"1171038394119421952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deucasta",57,TRUE,FALSE,NA,NA
"7","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:31:05,FALSE,NA,"1171038313609752579",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","centipederella",57,TRUE,FALSE,NA,NA
"8","RT @ahilia_stee: watched #nezha with my friend last night &lt;3
SOOO GOOOD!!! everyone please go watch it if it's in a theatre near you TT
als…",FALSE,0,NA,2019-09-09 12:31:02,FALSE,NA,"1171038299869212672",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nightstarrydays",166,TRUE,FALSE,NA,NA
"9","<U+3057><U+3087><U+3046><U+306E><U+8CEA><U+554F><U+7BB1><U+3067><U+3059>
<U+6700><U+8FD1><U+56DE><U+7B54><U+3057><U+305F><U+8CEA><U+554F> <U+2192> <U+300C><U+904A><U+622F><U+738B><U+3063><U+3066><U+697D><U+3057><U+3044><U+3067><U+3059><U+3088><U+306D><U+300D>

https://t.co/9sa4EtnOmb",FALSE,0,NA,2019-09-09 12:31:00,FALSE,NA,"1171038291098886144",NA,"<a href=""https://peing.net"" rel=""nofollow"">Peing</a>","Nezha_Sho",0,FALSE,FALSE,NA,NA
"10","RT @evil_lanzhan: i wanna watch nezha :( 

#<U+54EA><U+5412><U+4E4B><U+9B54><U+7AE5><U+964D><U+4E16> #Aobing #Nezha https://t.co/s8xBXZGhRw",FALSE,0,NA,2019-09-09 12:30:14,FALSE,NA,"1171038101604429824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","evil_lanzhan",32,TRUE,FALSE,NA,NA
