,1980.Total,1980.Low ,1980.Medium,1980.High,1985.Total,1985.Low ,1985.Medium,1985.High,1990.Total,1990.Low ,1990.Medium,1990.High,1995.Total,1995.Low ,1995.Medium,1995.High,2000.Total,2000.Low ,2000.Medium,2000.High,2005.Total,2005.Low ,2005.Medium,2005.High,2010.Total,2010.Low ,2010.Medium,2010.High
Afghanistan,1648,128,368,1152,5420,721,1256,3443,9016,874,2316,5826,11230,676,4250,6304,14424,1243,5019,8162,20774,2359,5893,12522,22490,2527,6632,13331
Albania,4016,2560,816,640,4829,3102,908,819,2886,1441,762,683,6473,1041,3365,2067,11979,1791,5847,4341,21249,2939,10109,8201,29505,2297,14381,12827
Algeria,1488,80,224,1184,2424,201,367,1856,2735,192,484,2059,3589,155,954,2480,5013,296,1189,3528,6974,194,1909,4871,8008,314,1846,5848
Andorra,416,272,112,32,352,236,90,26,44,20,24,0,27,7,20,0,34,13,21,0,49,17,32,0,53,20,33,0
Angola,128,16,64,48,448,67,118,263,767,76,169,522,445,28,139,278,551,49,148,354,797,66,222,509,879,74,233,572
Antigua and Barbuda,1216,416,464,336,2751,928,995,828,3671,835,1549,1287,4614,497,2565,1552,5639,666,2765,2208,5875,936,3309,1630,6803,940,3094,2769
Argentina,23808,6560,6000,11248,37124,9375,8839,18910,38906,5714,10646,22546,40299,3719,15060,21520,43442,5670,13516,24256,77376,7816,29946,39614,73043,7926,23642,41475
Armenia,14822,8005,3491,3326,16683,8758,3698,4227,13193,4682,3862,4649,15203,2208,6364,6631,24465,3654,8636,12175,35827,5802,11592,18433,40233,3459,13662,23112
Australia,9472,1520,2048,5904,13358,1921,2381,9056,12924,968,2152,9804,15402,629,3595,11178,20049,956,3907,15186,26608,998,5022,20588,30453,1061,5486,23906
Austria,51136,21872,9952,19312,56060,22873,9959,23228,31002,7167,6701,17134,26223,3386,8113,14724,22481,2610,5591,14280,23108,1469,6809,14830,19888,1145,5786,12957
Azerbaijan,8327,3434,2357,2536,7521,3089,1888,2544,1971,413,490,1068,3426,288,1103,2035,5710,476,1497,3737,6070,149,1254,4667,8193,617,2064,5512
"Bahamas, The",4288,1984,1216,1088,6160,2695,1612,1853,5504,1529,1739,2236,5940,897,2685,2358,6837,1172,2688,2977,8602,704,3822,4076,9758,1046,3270,5442
Bahrain,80,0,32,48,207,0,44,163,338,0,50,288,194,0,41,153,239,0,44,195,347,0,66,281,384,0,69,315
Bangladesh,2784,320,272,2192,7261,1077,1011,5173,10931,1157,1905,7869,19216,1495,5010,12711,32835,3760,7359,21716,52271,4529,12941,34801,63596,5167,13849,44580
Barbados,9008,3168,3856,1984,14164,4681,5613,3870,14885,2977,6684,5224,16418,1807,9722,4889,16921,2493,9055,5373,21543,2657,9929,8957,20273,2124,8945,9204
Belarus,6025,2776,1066,2183,7648,3261,1240,3147,6318,1636,1268,3414,9519,987,2526,6006,16088,1634,3427,11027,22045,1161,4242,16642,25459,1591,5125,18743
Belgium,12928,4832,2368,5728,15747,5140,2691,7916,11530,1707,2344,7479,11386,922,3159,7305,12140,1029,2642,8469,14139,608,2816,10715,11915,586,2252,9077
Belize,3952,1264,1328,1360,7725,2431,2444,2850,9521,1986,3492,4043,10733,1373,5335,4025,12301,2252,5277,4772,15544,2834,6247,6463,16656,1972,6898,7786
Benin,96,16,0,80,166,26,35,105,191,18,81,92,122,7,66,49,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,448,32,96,320,363,26,68,269,13,0,0,13,7,0,0,7,9,0,0,9,13,0,0,13,14,0,0,14
Bolivia,4640,352,912,3376,8536,1071,1624,5841,10537,1112,2273,7152,11977,849,4101,7027,14524,1543,4775,8206,27927,3185,9269,15473,28872,3276,8893,16703
Bosnia and Herzegovina,27055,12600,8261,6194,35246,15897,10516,8833,27515,7985,10804,8726,33180,4718,19033,9429,40143,6236,21716,12191,63526,7094,35742,20690,68198,7089,35790,25319
