"","season","year","month","wday","hr","temp","atemp","hum","windspeed","weather","casual","registered"
"1","1",2011,"1","0",0,0.24,0.2879,0.81,0,"1",3,13
"2","1",2011,"1","0",1,0.22,0.2727,0.8,0,"1",8,32
"3","1",2011,"1","0",2,0.22,0.2727,0.8,0,"1",5,27
"4","1",2011,"1","0",3,0.24,0.2879,0.75,0,"1",3,10
"5","1",2011,"1","0",4,0.24,0.2879,0.75,0,"1",0,1
"6","1",2011,"1","0",5,0.24,0.2576,0.75,0.0896,"2",0,1
"7","1",2011,"1","0",6,0.22,0.2727,0.8,0,"1",2,0
"8","1",2011,"1","0",7,0.2,0.2576,0.86,0,"1",1,2
"9","1",2011,"1","0",8,0.24,0.2879,0.75,0,"1",1,7
"10","1",2011,"1","0",9,0.32,0.3485,0.76,0,"1",8,6
"11","1",2011,"1","0",10,0.38,0.3939,0.76,0.2537,"1",12,24
"12","1",2011,"1","0",11,0.36,0.3333,0.81,0.2836,"1",26,30
"13","1",2011,"1","0",12,0.42,0.4242,0.77,0.2836,"1",29,55
"14","1",2011,"1","0",13,0.46,0.4545,0.72,0.2985,"2",47,47
"15","1",2011,"1","0",14,0.46,0.4545,0.72,0.2836,"2",35,71
"16","1",2011,"1","0",15,0.44,0.4394,0.77,0.2985,"2",40,70
"17","1",2011,"1","0",16,0.42,0.4242,0.82,0.2985,"2",41,52
"18","1",2011,"1","0",17,0.44,0.4394,0.82,0.2836,"2",15,52
"19","1",2011,"1","0",18,0.42,0.4242,0.88,0.2537,"3",9,26
"20","1",2011,"1","0",19,0.42,0.4242,0.88,0.2537,"3",6,31
"21","1",2011,"1","0",20,0.4,0.4091,0.87,0.2537,"2",11,25
"22","1",2011,"1","0",21,0.4,0.4091,0.87,0.194,"2",3,31
"23","1",2011,"1","0",22,0.4,0.4091,0.94,0.2239,"2",11,17
"24","1",2011,"1","0",23,0.46,0.4545,0.88,0.2985,"2",15,24
"25","1",2011,"1","0",0,0.46,0.4545,0.88,0.2985,"2",4,13
"26","1",2011,"1","0",1,0.44,0.4394,0.94,0.2537,"2",1,16
"27","1",2011,"1","0",2,0.42,0.4242,1,0.2836,"2",1,8
"28","1",2011,"1","0",3,0.46,0.4545,0.94,0.194,"2",2,4
"29","1",2011,"1","0",4,0.46,0.4545,0.94,0.194,"2",2,1
"30","1",2011,"1","0",6,0.42,0.4242,0.77,0.2985,"3",0,2
"31","1",2011,"1","0",7,0.4,0.4091,0.76,0.194,"2",0,1
"32","1",2011,"1","0",8,0.4,0.4091,0.71,0.2239,"3",0,8
"33","1",2011,"1","0",9,0.38,0.3939,0.76,0.2239,"2",1,19
"34","1",2011,"1","0",10,0.36,0.3485,0.81,0.2239,"2",7,46
"35","1",2011,"1","0",11,0.36,0.3333,0.71,0.2537,"2",16,54
"36","1",2011,"1","0",12,0.36,0.3333,0.66,0.2985,"2",20,73
"37","1",2011,"1","0",13,0.36,0.3485,0.66,0.1343,"2",11,64
"38","1",2011,"1","0",14,0.36,0.3485,0.76,0.194,"3",4,55
"39","1",2011,"1","0",15,0.34,0.3333,0.81,0.1642,"3",19,55
"40","1",2011,"1","0",16,0.34,0.3333,0.71,0.1642,"3",9,67
"41","1",2011,"1","0",17,0.34,0.3333,0.57,0.194,"1",7,58
"42","1",2011,"1","0",18,0.36,0.3333,0.46,0.3284,"2",10,43
"43","1",2011,"1","0",19,0.32,0.2879,0.42,0.4478,"1",1,29
"44","1",2011,"1","0",20,0.3,0.2727,0.39,0.3582,"1",5,17
"45","1",2011,"1","0",21,0.26,0.2273,0.44,0.3284,"1",11,20
"46","1",2011,"1","0",22,0.24,0.2121,0.44,0.2985,"1",0,9
"47","1",2011,"1","0",23,0.22,0.2273,0.47,0.1642,"1",0,8
"48","1",2011,"1","1",0,0.22,0.197,0.44,0.3582,"1",0,5
"49","1",2011,"1","1",1,0.2,0.1667,0.44,0.4179,"1",0,2
"50","1",2011,"1","1",4,0.16,0.1364,0.47,0.3881,"1",0,1
"51","1",2011,"1","1",5,0.16,0.1364,0.47,0.2836,"1",0,3
"52","1",2011,"1","1",6,0.14,0.1061,0.5,0.3881,"1",0,30
"53","1",2011,"1","1",7,0.14,0.1364,0.5,0.194,"1",1,63
"54","1",2011,"1","1",8,0.14,0.1212,0.5,0.2836,"1",1,153
"55","1",2011,"1","1",9,0.16,0.1364,0.43,0.3881,"1",7,81
"56","1",2011,"1","1",10,0.18,0.1667,0.43,0.2537,"1",11,33
"57","1",2011,"1","1",11,0.2,0.1818,0.4,0.3284,"1",10,41
"58","1",2011,"1","1",12,0.22,0.2121,0.35,0.2985,"1",13,48
"59","1",2011,"1","1",13,0.24,0.2121,0.35,0.2836,"1",8,53
"60","1",2011,"1","1",14,0.26,0.2424,0.3,0.2836,"1",11,66
"61","1",2011,"1","1",15,0.26,0.2424,0.3,0.2537,"1",14,58
"62","1",2011,"1","1",16,0.26,0.2424,0.3,0.2537,"1",9,67
"63","1",2011,"1","1",17,0.24,0.2273,0.3,0.2239,"1",11,146
"64","1",2011,"1","1",18,0.24,0.2576,0.32,0.1045,"1",9,148
"65","1",2011,"1","1",19,0.2,0.2576,0.47,0,"1",8,102
"66","1",2011,"1","1",20,0.2,0.2273,0.47,0.1045,"1",3,49
"67","1",2011,"1","1",21,0.18,0.197,0.64,0.1343,"1",3,49
"68","1",2011,"1","1",22,0.14,0.1515,0.69,0.1343,"1",0,20
"69","1",2011,"1","1",23,0.18,0.2121,0.55,0.1045,"1",1,11
"70","1",2011,"1","1",0,0.16,0.1818,0.55,0.1045,"1",0,5
"71","1",2011,"1","1",1,0.16,0.1818,0.59,0.1045,"1",0,2
"72","1",2011,"1","1",2,0.14,0.1515,0.63,0.1343,"1",0,1
"73","1",2011,"1","1",4,0.14,0.1818,0.63,0.0896,"1",0,2
"74","1",2011,"1","1",5,0.12,0.1515,0.68,0.1045,"1",0,4
"75","1",2011,"1","1",6,0.12,0.1515,0.74,0.1045,"1",0,36
"76","1",2011,"1","1",7,0.12,0.1515,0.74,0.1343,"1",2,92
"77","1",2011,"1","1",8,0.14,0.1515,0.69,0.1642,"1",2,177
"78","1",2011,"1","1",9,0.16,0.1515,0.64,0.2239,"1",2,98
"79","1",2011,"1","1",10,0.16,0.1364,0.69,0.3284,"2",5,37
"80","1",2011,"1","1",11,0.22,0.2121,0.51,0.2985,"1",7,50
"81","1",2011,"1","1",12,0.22,0.2273,0.51,0.1642,"1",12,66
"82","1",2011,"1","1",13,0.24,0.2273,0.56,0.194,"1",18,79
